Object Name,RA,DEC,Velocity,Redshift,Magnitude and Filter
WISEA J000007.40-100817.0,0.03083,-10.138069999999999,231465,0.772084,21.4g
SDSS J000028.69+005209.2,0.11955999999999999,0.86924,280306,0.935,19.0g
WISEA J000047.88+005701.5,0.19983,0.95055,257822,0.86,22.7g
SDSS J000055.60+024759.1,0.23137,2.80003,235765,0.7864260000000001,21.2
SDSS J000104.68-103704.8,0.26950999999999997,-10.61801,286722,0.9564010000000001,20.9g
WISEA J000108.27-102940.7,0.28447,-10.49467,246812,0.823275,24.2g
WISEA J000111.93+001612.9,0.29968,0.27021999999999996,299792,1.0,21.4g
SDSS J000119.86-000153.6,0.33279000000000003,-0.031560000000000005,269813,0.9,21.3g
WISEA J000123.70-004001.9,0.34892,-0.66727,267955,0.8938010000000001,21.5g
WISEA J000131.59+000147.0,0.38177,0.02947,299792,1.0,21.4g
WISEA J000133.48-085212.2,0.38965,-8.86999,237969,0.793779,22.2g
WISEA J000217.13-102802.6,0.5714600000000001,-10.467319999999999,229080,0.76413,22.8g
WISEA J000228.62-003805.1,0.61929,-0.63458,228412,0.7619,21.31
WISEA J000246.34+011351.2,0.69314,1.23088,236286,0.788165,21.5g
WISEA J000247.87+151508.6,0.69944,15.252289999999999,226445,0.75534,22.2g
WISEA J000252.48-100544.5,0.7187100000000001,-10.09572,237665,0.792766,22.9g
WISEA J000307.83-010909.3,0.78262,-1.15257,227830,0.759958,22.0g
WISEA J000308.21+161305.2,0.7843399999999999,16.2182,240333,0.801663,22.1g
WISEA J000347.10+000703.5,0.94637,0.1177,227842,0.76,21.1g
WISEA J000350.44-104444.6,0.96016,-10.74575,230132,0.767636,21.4g
WISEA J000408.34-000319.0,1.03493,-0.055220000000000005,234803,0.783217,23.5g
WISEA J000411.48-005919.6,1.04793,-0.98887,262318,0.875,20.22
WISEA J000446.58+000944.7,1.1940600000000001,0.1624,236324,0.788291,21.1g
WISEA J000504.74-010740.2,1.26981,-1.12782,249537,0.8323659999999999,21.4g
WISEA J000509.30+014821.1,1.28861,1.80591,259203,0.864607,20.20
WISEA J000510.05-100232.1,1.2921,-10.04242,238931,0.7969890000000001,22.2g
WISEA J000551.52-104624.5,1.46471,-10.77355,225758,0.753047,20.1g
SDSS J000609.39+010321.8,1.5392,1.0561399999999999,225275,0.7514350000000001,22.2g
WISEA J000640.74-105415.1,1.6697099999999998,-10.90417,286845,0.9568129999999999,24.0g
WISEA J000703.21+155506.6,1.76348,15.918520000000001,289564,0.96588,21.6g
WISEA J000720.68-041155.0,1.8360900000000002,-4.1986,226098,0.754182,20.15
WISEA J000743.87+002916.0,1.93295,0.48767,275608,0.919328,23.0g
WISEA J000753.64-090850.2,1.9735,-9.147260000000001,269829,0.9000520000000001,21.7g
WISEA J000757.23+000711.8,1.98869,0.12018,296795,0.99,21.5g
WISEA J000828.67+001621.5,2.11955,0.27271999999999996,238201,0.794552,21.5g
WISEA J000834.82+141415.7,2.14514,14.23765,231170,0.7711,22.3g
WISEA J000836.26-094015.7,2.15117,-9.67108,228854,0.763373,22.8g
SDSS J000858.88-102301.6,2.2458299999999998,-10.38315,272570,0.9091959999999999,20.22
WISEA J000923.51+005728.1,2.348,0.9577899999999999,240279,0.801484,18.5g
WISEA J000930.49-050604.4,2.3770599999999997,-5.10118,241363,0.8051,20.36
WISEA J000939.74-090031.2,2.4156400000000002,-9.00869,230643,0.769342,21.9g
WISEA J000950.41+005238.8,2.45995,0.8775700000000001,288534,0.9624450000000001,19.9g
WISEA J000957.22+154926.3,2.48853,15.823770000000001,229988,0.7671560000000001,22.5g
