Object Name,RA,DEC,Velocity,Redshift,Magnitude and Filter
WISEA J000008.52-101513.0,0.03587,-10.25331,484338,1.615579,22.1g
SDSS J000026.65-001147.6,0.11105,-0.19658,693886,2.314555,22.2g
WISEA J000038.71-105730.3,0.16125,-10.95837,372364,1.2420719999999998,21.3g
SDSS J000046.37+000827.5,0.19321,0.14098,517142,1.725,20.37
SDSS J000104.79+005650.1,0.26999,0.9472700000000001,425705,1.42,20.2g
SDSS J000106.46+011101.3,0.27694,1.18369,729333,2.4327919999999996,22.1g
WISEA J000109.99-033816.9,0.29162,-3.6381699999999997,935932,3.121932,20.12
WISEA J000110.29-084616.3,0.29278000000000004,-8.77105,547121,1.825,20.26
SDSS J000113.52+001041.1,0.30635999999999997,0.1781,437697,1.46,21.4g
SDSS J000114.27-003756.8,0.30949,-0.63246,430474,1.435907,20.8g
SDSS J000115.34+010737.9,0.31395,1.12721,419710,1.4,23.1g
WISEA J000116.20-094113.2,0.3175,-9.68705,353929,1.18058,22.0g
WISEA J000116.97-004808.8,0.32083,-0.80262,410407,1.36897,21.2g
SDSS J000119.36+010524.7,0.33071,1.09023,688608,2.29695,20.8g
SDSS J000120.42+003320.9,0.33512,0.55581,311784,1.04,22.3g
WISEA J000123.64-032317.3,0.34852,-3.38815,935604,3.120838,20.18
WISEA J000133.50+151214.4,0.38961999999999997,15.20401,509800,1.700511,22.2g
SDSS J000136.00+011323.5,0.40003,1.2232100000000001,791564,2.640373,22.2g
SDSS J000138.81+000723.3,0.41175,0.12315999999999999,302790,1.01,21.0g
WISEA J000140.95+002046.2,0.42073999999999995,0.34631999999999996,305788,1.02,21.1g
SDSS J000143.46-002816.6,0.4311,-0.47129,767347,2.559593,21.2g
SDSS J000153.29-001254.5,0.47205,-0.21515,311784,1.04,21.7g
SDSS J000159.56+000915.8,0.49818999999999997,0.15441,881390,2.94,22.5g
SDSS J000211.42-001833.2,0.54761,-0.30922,410716,1.37,21.3g
SDSS J000213.14+001217.2,0.55475,0.20479,386732,1.29,21.8g
SDSS J000221.41-001237.5,0.58922,-0.21043,377739,1.26,21.7g
SDSS J000221.86+002232.9,0.59109,0.37581,398724,1.33,21.2g
SDSS J000242.91+001122.7,0.6788,0.18966,565109,1.885,21.0g
WISEA J000242.92+010318.9,0.67898,1.05524,350757,1.17,20.9g
SDSS J000244.80-001950.2,0.6867,-0.33063000000000003,341962,1.1406610000000001,22.3g
WISEA J000306.95-001138.3,0.7789,-0.19405999999999998,696029,2.321704,21.3g
WISEA J000309.12+011457.1,0.78776,1.2493299999999998,323776,1.08,21.3g
WISEA J000309.88+154143.4,0.7912,15.69544,319312,1.0651110000000001,21.2g
WISEA J000312.37+005847.4,0.8014600000000001,0.9798600000000001,387671,1.29313,21.6g
SDSS J000317.57-011107.7,0.82321,-1.1854799999999999,347759,1.16,21.9g
WISEA J000329.75+020047.7,0.8738799999999999,2.01326,675417,2.252948,20.32
SDSS J000329.96+010534.0,0.8748600000000001,1.0928,481379,1.6057059999999999,21.7g
SDSS J000334.86-002352.3,0.8952600000000001,-0.39789,320778,1.07,21.3g
WISEA J000340.75+003106.8,0.9194700000000001,0.5183800000000001,350757,1.17,21.6g
WISEA J000349.08+001159.9,0.95449,0.1999,314782,1.05,21.4g
SDSS J000351.72+004332.7,0.9655299999999999,0.7257600000000001,368745,1.23,19.4g
WISEA J000402.28+005754.2,1.00945,0.96506,593243,1.978847,21.5g
WISEA J000406.57+010000.4,1.02715,1.00011,359751,1.2,21.0g
WISEA J000415.84-110113.4,1.066,-11.020430000000001,667038,2.225,19.90
SDSS J000426.42+005703.6,1.11011,0.95101,843286,2.8129,20.9g
SDSS J000444.55-005226.1,1.18565,-0.8739299999999999,431701,1.44,21.7g
SDSS J000451.70-010321.1,1.21545,-1.05588,503981,1.6811,20.4g
SDSS J000455.17-002131.0,1.22989,-0.35863,853523,2.8470470000000003,21.5g
WISEA J000509.99-064045.2,1.29158,-6.67928,752488,2.51003,18.9b
SDSS J000512.62-000402.5,1.30261,-0.06738,761406,2.539777,22.0g
SDSS J000515.51+150614.6,1.31464,15.104079999999998,667442,2.226347,21.7g
SDSS J000516.08+004603.4,1.31701,0.76763,398724,1.33,22.1g
WISEA J000520.46+135446.5,1.3353,13.91293,471451,1.57259,21.3g
SDSS J000540.54-010453.0,1.4189399999999999,-1.08141,1071030,3.572572,22.2g
SDSS J000554.03+003041.9,1.47515,0.51171,1240805,4.13888,22.3g
SDSS J000620.70+000620.7,1.58629,0.10577,728874,2.431263,22.3g
WISEA J000624.02+011256.5,1.60018,1.21576,472173,1.575,20.29
SDSS J000647.25+010213.7,1.6968900000000002,1.03715,639701,2.133814,21.4g
WISEA J000647.59-095126.5,1.69842,-9.85719,412215,1.375,20.21
WISEA J000658.25+005840.0,1.74269,0.9778100000000001,469819,1.5671469999999998,20.7g
SDSS J000710.41-100859.4,1.79341,-10.14983,367246,1.225,19.75
WISEA J000723.99-002338.0,1.84998,-0.39383,1703482,5.6822040000000005,22.0g
WISEA J000730.76-092119.2,1.8782599999999998,-9.35546,357526,1.192577,21.9g
SDSS J000738.51+001244.8,1.9104700000000001,0.21245999999999998,413014,1.377667,18.1g
WISEA J000738.55-001751.1,1.9107,-0.29762,669286,2.232497,22.0g
WISEA J000802.39+143326.0,2.0100599999999997,14.557229999999999,1753370,5.848612999999999,21.7g
WISEA J000826.37+011340.4,2.1099,1.2278,379978,1.267469,21.6g
WISE J000903.93+062821.2,2.26638,6.472569999999999,468464,1.562629,21.4O
WISEA J000904.95-093829.0,2.2707200000000003,-9.64139,384714,1.283268,22.4g
SDSS J000917.51-002136.1,2.32298,-0.36003,1153033,3.846104,20.3g
WISEA J000919.97-094809.0,2.33317,-9.80258,1676925,5.593618,20.0g
WISEA J000925.23-005603.1,2.35509,-0.93419,945136,3.152634,21.0g
SDSS J000931.21+004137.3,2.38006,0.6937,722067,2.408555,21.5g
SDSS J000938.93+140724.7,2.41224,14.123560000000001,2087309,6.962511999999999,22.7g
SDSS J000940.29+142059.6,2.41791,14.349910000000001,692335,2.30938,22.0g
