Object Name,RA,DEC,Velocity,Redshift,Magnitude and Filter
WISEA J000001.27+150440.9,0.00532,15.07801,-28,-9.300000000000001e-05,17.3g
SDSS J000006.99-095753.8,0.029169999999999998,-9.96497,-205,-0.000683,21.0g
WISEA J000010.53-042033.3,0.04417,-4.34287,-237,-0.000792,19.70
SDSS J000024.58-011003.4,0.10246,-1.16762,-13,-4.4e-05,22.2g
SDSS J000030.85-005228.5,0.12855,-0.8746,-32,-0.00010800000000000001,19.7g
WISEA J000039.27+005432.8,0.16351,0.90917,-40,-0.000133,19.7g
SDSS J000044.73-101740.3,0.18638,-10.29455,-165,-0.000551,20.7g
SDSS J000123.75-104742.9,0.34896,-10.79528,-95,-0.000317,21.1g
2MASS J00014473+0042422,0.43642,0.7117399999999999,-37,-0.000125,18.7g
SDSS J000147.79+001131.8,0.44916000000000006,0.19219,-4,-1.3000000000000001e-05,21.1g
WISEA J000152.11-110023.9,0.46703999999999996,-11.00662,-31,-0.000105,17.8g
WISEA J000204.40+140444.0,0.51835,14.07889,-35,-0.000117,20.9g
WISEA J000204.84+145352.3,0.52022,14.897929999999999,-45,-0.000149,19.0g
SDSS J000224.20-060443.3,0.60092,-6.07873,-168,-0.000562,19.52
WISEA J000224.60-000201.5,0.60255,-0.033819999999999996,-46,-0.000152,19.7g
2MASS J00024301+1606502,0.6793899999999999,16.114,-35,-0.000117,21.3g
WISEA J000303.49-011442.6,0.76463,-1.24506,-54,-0.000181,21.2g
WISEA J000305.22+152518.5,0.77153,15.4218,-49,-0.000162,18.7g
WISEA J000313.35+150921.6,0.80582,15.156120000000001,-12,-4e-05,22.2g
2MASS J00033203-0044375,0.8836700000000001,-0.74359,-5,-1.7e-05,20.9g
WISEA J000332.70+003337.5,0.8861700000000001,0.5606300000000001,-1140,-0.0038009999999999997,23.1g
SDSS J000333.09-105238.0,0.8879,-10.87723,-136,-0.000455,20.3g
WISEA J000337.94-004932.7,0.90812,-0.82571,-1205,-0.004021,21.1g
WISEA J000349.02+005311.8,0.95415,0.88638,-7,-2.5e-05,22.1g
SDSS J000358.10-101823.8,0.99208,-10.306610000000001,-57,-0.00018999999999999998,21.6g
WISEA J000358.50-020303.1,0.99356,-2.05078,-235,-0.000785,19.32
2MASS J00041407-0114367,1.0586200000000001,-1.2435100000000001,-33,-0.00011,20.3g
WISEA J000425.50+001947.1,1.10624,0.32979,-13,-4.3e-05,21.0g
WISEA J000431.48-002622.3,1.13094,-0.43964,-46,-0.000153,22.6g
SDSS J000455.93+003942.4,1.23305,0.6618,-2107,-0.0070290000000000005,20.8g
SDSS J000458.81+011407.5,1.24505,1.23543,-56,-0.000188,21.5g
WISEA J000459.18-052744.1,1.24642,-5.46229,-37,-0.000124,19.08
WISEA J000522.41-002606.6,1.34334,-0.43521000000000004,-2181,-0.007273999999999999,20.5g
SDSS J000524.60+143633.3,1.35256,14.609229999999998,-81,-0.00027,24.0g
SDSS J000526.16-041243.9,1.35881,-4.21216,-338,-0.0011279999999999999,19.96
SDSS J000540.50+002549.1,1.41878,0.43033000000000005,-34,-0.00011499999999999999,19.1g
SDSS J000612.46+154649.8,1.55195,15.780510000000001,-3,-1e-05,18.5g
SDSS J000639.89-002337.8,1.66622,-0.39386,-5,-1.7e-05,20.1g
WISEA J000645.71+003427.1,1.6904400000000002,0.57385,-8,-2.8000000000000003e-05,20.19
WISEA J000648.19-091341.4,1.7006400000000002,-9.22808,-51,-0.000169,21.0g
WISEA J000655.07+002959.4,1.7295,0.49988999999999995,-995,-0.0033200000000000005,20.4g
WISEA J000703.23-005327.3,1.7635299999999998,-0.89094,-2376,-0.007925,20.8g
SDSS J000721.58-011511.1,1.83995,-1.25311,-42,-0.00014,21.1g
WISEA J000730.92-005144.3,1.8788,-0.86229,-211,-0.000704,19.9g
WISEA J000756.25+002629.1,1.98446,0.44153000000000003,-30,-0.0001,18.6g
WISEA J000800.71-041355.8,2.00248,-4.2320400000000005,-210,-0.0007019999999999999,19.77
WISEA J000807.36-002636.0,2.03072,-0.4434,-68,-0.000226,20.1g
WISEA J000844.42-005538.7,2.1851,-0.9274100000000001,-167,-0.000558,21.0g
SDSS J000859.05-063554.3,2.24592,-6.598489999999999,-132,-0.00044100000000000004,19.93
WISEA J000907.22+000253.1,2.28009,0.0481,-67,-0.00022400000000000002,20.1g
SDSS J000921.03-000829.0,2.33763,-0.1414,-31,-0.00010400000000000001,20.3g
WISEA J000921.70+002748.0,2.34024,0.46303,-44,-0.000147,20.09
WISEA J000939.08-004428.8,2.41288,-0.74135,-25,-8.499999999999999e-05,20.5g
WISEA J000943.87+004707.7,2.4331,0.78535,-2,-7.000000000000001e-06,22.0g
SDSS J000948.12-003328.4,2.45054,-0.55791,-378,-0.0012619999999999999,21.3g
2MASS J00095242+0043088,2.4685099999999998,0.71906,-73,-0.00024300000000000002,19.6g
SDSS J000954.63+152456.2,2.4776599999999998,15.415629999999998,-505,-0.001686,21.8g
SDSS J001006.98-000904.0,2.5291,-0.15113,-194,-0.000647,19.2g
WISEA J001014.49-062009.2,2.55987,-6.33585,-46,-0.000154,20.16
2MASS J00101524-0751545,2.56337,-7.8651,-100,-0.000334,19.27
WISEA J001018.52+004650.7,2.5771900000000003,0.78078,-936,-0.0031219999999999998,20.6g
SDSS J001025.71-003546.0,2.60717,-0.59614,-1168,-0.0038950000000000005,20.9g
WISEA J001026.34+000544.0,2.6097900000000003,0.09559,0,-1e-06,18.6g
WISEA J001029.88+003125.9,2.62446,0.52394,-15,-4.9e-05,20.1g
