

Results from query to  NASA/IPAC Extragalactic Database (NED),
which is operated by the Jet Propulsion Laboratory, California Institute of
Technology, under contract with the National Aeronautics and Space Administration.
This work was (partially) supported by the US National Virtual Observatory
development project, which is funded by the National Science Foundation
under cooperative agreement AST0122449 with The Johns Hopkins University.


queryDateTime:2019-10-01T08:46:21PDT



Main Information Table for All Sky, chosen by params



Equinox:J2000.0



CoordSystem:Equatorial

No.	Object Name	RA	DEC	Type	Velocity	Redshift	Redshift Flag	Magnitude and Filter	Separation	References	Notes	Photometry Points	Positions	Redshift Points	Diameter Points	Associations
1	SDSS J000147.79+001131.8	  0.44916 	   0.19219 	G	    -4	-0.000013 	SPEC	21.1g	  0.000	2	0	15	2	1	4	0
2	SDSS J000358.10-101823.8	  0.99208 	 -10.30661 	G	   -57	-0.000190 	SPEC	21.6g	  0.000	0	0	15	2	1	4	0
3	SDSS J000540.50+002549.1	  1.41878 	   0.43033 	G	   -34	-0.000115 	SPEC	19.1g	  0.000	0	0	15	2	1	4	0
4	SDSS J000612.46+154649.8	  1.55195 	  15.78051 	G	    -3	-0.000010 	SPEC	18.5g	  0.000	0	0	15	2	1	4	0
5	SDSS J000648.15-091341.0	  1.70064 	  -9.22808 	G	   -51	-0.000169 	SPEC	21.0g	  0.000	2	0	15	2	1	4	0
6	SDSS J000721.58-011511.1	  1.83995 	  -1.25311 	G	   -42	-0.000140 	SPEC	21.1g	  0.000	0	0	15	2	1	4	0
7	SDSS J000730.91-005144.2	  1.87880 	  -0.86229 	G	  -211	-0.000704 	SPEC	19.9g	  0.000	0	0	15	2	1	4	0
8	SDSS J000921.03-000829.0	  2.33763 	  -0.14140 	G	   -31	-0.000104 	SPEC	20.3g	  0.000	0	0	15	2	1	4	0
9	SDSS J000948.12-003328.4	  2.45054 	  -0.55791 	G	  -378	-0.001262 	SPEC	21.3g	  0.000	2	0	15	2	1	4	0
10	SDSS J000954.63+152456.2	  2.47766 	  15.41563 	G	  -505	-0.001686 	SPEC	21.8g	  0.000	0	0	15	2	1	4	0
11	SDSS J001129.64+001143.5	  2.87352 	   0.19544 	G	    -4	-0.000014 	SPEC	21.2g	  0.000	2	0	15	2	1	4	0
12	SDSS J001148.99+323448.5	  2.95415 	  32.58014 	G	  -113	-0.000377 	    	     	  0.000	1	0	0	1	1	0	0
13	SDSS J001229.09+153133.4	  3.12124 	  15.52596 	G	   -80	-0.000267 	SPEC	22.7g	  0.000	2	0	15	3	2	4	0
14	SDSS J001454.45-010322.5	  3.72691 	  -1.05625 	G	  -659	-0.002198 	SPEC	17.9g	  0.000	0	0	15	2	1	3	0
15	SDSS J001459.31-000611.4	  3.74714 	  -0.10319 	G	  -147	-0.000491 	SPEC	20.3g	  0.000	1	0	15	2	1	4	0
16	SDSS J001504.52-000756.0	  3.76886 	  -0.13224 	G	   -12	-0.000039 	SPEC	21.8g	  0.000	0	0	15	2	1	4	0
17	SDSS J001521.22+143234.9	  3.83844 	  14.54303 	G	   -50	-0.000168 	SPEC	22.3g	  0.000	2	0	15	2	1	4	0
18	SDSS J001622.00+004308.3	  4.09168 	   0.71898 	G	   -27	-0.000091 	SPEC	21.4g	  0.000	0	0	15	2	1	4	0
19	SDSS J001624.18-105703.6	  4.10078 	 -10.95101 	G	  -461	-0.001539 	SPEC	20.4g	  0.000	0	0	15	2	1	4	0
20	SDSS J001700.09-095255.3	  4.25041 	  -9.88205 	G	  -213	-0.000709 	SPEC	20.8g	  0.000	0	0	15	2	1	4	0
21	SDSS J001755.77+145711.2	  4.48240 	  14.95313 	G	   -75	-0.000251 	SPEC	21.9g	  0.000	0	0	15	2	1	4	0
22	SDSS J002000.82+140729.3	  5.00345 	  14.12482 	G	  -186	-0.000622 	SPEC	21.3g	  0.000	0	0	15	2	1	4	0
23	SDSS J002015.43+150613.6	  5.06431 	  15.10379 	G	   -22	-0.000072 	SPEC	22.4g	  0.000	2	0	15	2	1	4	0
24	SDSS J002109.84-005923.4	  5.29103 	  -0.98985 	G	  -931	-0.003104 	SPEC	22.1g	  0.000	1	0	15	2	1	4	0
25	SDSS J002134.48+285113.1	  5.39369 	  28.85366 	G	  -128	-0.000427 	    	     	  0.000	1	0	0	1	1	0	0
26	SDSS J002135.31+151516.2	  5.39715 	  15.25453 	G	   -10	-0.000035 	SPEC	20.0g	  0.000	0	0	15	2	1	4	0
27	SDSS J002150.16+003850.9	  5.45903 	   0.64749 	G	   -57	-0.000191 	SPEC	21.0g	  0.000	0	0	15	2	1	4	0
