

Results from query to  NASA/IPAC Extragalactic Database (NED),
which is operated by the Jet Propulsion Laboratory, California Institute of
Technology, under contract with the National Aeronautics and Space Administration.
This work was (partially) supported by the US National Virtual Observatory
development project, which is funded by the National Science Foundation
under cooperative agreement AST0122449 with The Johns Hopkins University.


queryDateTime:2019-09-27T11:16:56PDT



Main Information Table for All Sky, chosen by params



Equinox:J2000.0



CoordSystem:Equatorial

No.	Object Name	RA	DEC	Type	Velocity	Redshift	Redshift Flag	Magnitude and Filter	Separation	References	Notes	Photometry Points	Positions	Redshift Points	Diameter Points	Associations
1	SDSS J000026.65-001147.6	  0.11105 	  -0.19658 	G	693886	 2.314555 	SPEC	22.2g	  0.000	4	0	15	3	2	4	0
2	SDSS J000106.46+011101.3	  0.27694 	   1.18369 	G	729333	 2.432792 	SPEC	22.1g	  0.000	3	0	15	2	1	4	0
3	SDSS J000143.46-002816.6	  0.43110 	  -0.47129 	G	767347	 2.559593 	SPEC	21.2g	  0.000	4	0	15	3	2	4	0
4	SDSS J000455.17-002131.0	  1.22989 	  -0.35863 	G	853523	 2.847047 	SPEC	21.5g	  0.000	4	0	15	2	1	4	0
5	SDSS J000515.51+150614.6	  1.31464 	  15.10408 	G	667442	 2.226347 	SPEC	21.7g	  0.000	0	0	15	2	1	4	0
6	SDSS J000620.70+000620.7	  1.58629 	   0.10577 	G	728874	 2.431263 	SPEC	22.3g	  0.000	3	0	15	2	1	4	0
7	SDSS J000940.29+142059.6	  2.41791 	  14.34991 	G	692335	 2.309380 	SPEC	22.0g	  0.000	0	0	15	2	1	3	0
8	SDSS J001054.02-084709.4	  2.72510 	  -8.78596 	G	697187	 2.325564 	SPEC	20.6g	  0.000	1	0	15	3	2	4	0
9	SDSS J002126.10-025222.0	  5.35875 	  -2.87278 	G	807041	 2.692000 	    	     	  0.000	5	0	0	3	3	0	0
10	8 O'CLOCK ARC	  5.67049 	  14.51956 	G	819423	 2.733300 	    	     	  0.000	22	0	3	6	7	0	0
11	SDSS J002602.74+145018.4	  6.51142 	  14.83845 	G	784939	 2.618275 	SPEC	20.9g	  0.000	1	0	15	3	2	4	0
12	SDSS J002605.69+142017.8	  6.52374 	  14.33830 	G	822330	 2.742996 	SPEC	21.4g	  0.000	0	0	15	2	1	4	1
13	SDSS J002947.43+155540.1	  7.44764 	  15.92781 	G	741910	 2.474745 	SPEC	21.0g	  0.000	1	0	15	2	1	4	0
14	SDSS J003202.31+005251.7	  8.00966 	   0.88104 	G	625301	 2.085779 	SPEC	21.3g	  0.000	3	0	15	2	1	4	0
15	SDSS J003752.71-085222.2	  9.46964 	  -8.87286 	G	821460	 2.740094 	SPEC	21.5g	  0.000	3	0	15	2	1	4	0
16	SDSS J003857.40+003906.1	  9.73919 	   0.65171 	G	886805	 2.958061 	SPEC	19.6g	  0.000	0	0	15	2	1	3	0
17	SDSS J004046.86+003640.3	 10.19526 	   0.61121 	G	731560	 2.440221 	SPEC	21.2g	  0.000	6	0	15	4	3	4	0
18	SDSS J004124.29+003055.4	 10.35123 	   0.51541 	G	749986	 2.501684 	SPEC	21.7g	  0.000	4	0	15	3	2	4	0
19	SDSS J004437.66+160748.8	 11.15695 	  16.13025 	G	859765	 2.867868 	SPEC	22.1g	  0.000	0	0	15	2	1	4	0
20	SDSS J004440.56-005330.4	 11.16903 	  -0.89178 	G	775954	 2.588303 	SPEC	21.7g	  0.000	4	0	15	4	3	4	0
