

Results from query to  NASA/IPAC Extragalactic Database (NED),
which is operated by the Jet Propulsion Laboratory, California Institute of
Technology, under contract with the National Aeronautics and Space Administration.
This work was (partially) supported by the US National Virtual Observatory
development project, which is funded by the National Science Foundation
under cooperative agreement AST0122449 with The Johns Hopkins University.


queryDateTime:2019-10-01T11:06:32PDT



Main Information Table for All Sky, chosen by params



Equinox:J2000.0



CoordSystem:Equatorial

No.	Object Name	RA	DEC	Type	Velocity	Redshift	Redshift Flag	Magnitude and Filter	Separation	References	Notes	Photometry Points	Positions	Redshift Points	Diameter Points	Associations
1	SDSS J000004.13-003904.6	  0.01724 	  -0.65128 	G	 40354	 0.134607 	SPEC	19.2g	  0.000	1	0	15	2	1	4	0
2	SDSS J000013.37+003850.2	  0.05572 	   0.64729 	G	 74416	 0.248225 	SPEC	20.0g	  0.000	1	0	16	3	1	4	0
3	SDSS J000018.33+154147.2	  0.07638 	  15.69645 	G	 44963	 0.149979 	SPEC	21.1g	  0.000	0	0	15	3	2	4	0
4	SDSS J000042.40+145013.7	  0.17669 	  14.83714 	G	 66467	 0.221709 	SPEC	19.5g	  0.000	0	0	15	2	1	4	0
5	SDSS J000059.04-010731.7	  0.24604 	  -1.12549 	G	 41875	 0.139681 	SPEC	19.7g	  0.000	1	0	16	3	1	4	0
6	SDSS J000127.75-004831.1	  0.36566 	  -0.80865 	G	 42565	 0.141980 	SPEC	19.6g	  0.000	1	0	16	3	1	4	0
7	SDSS J000141.86+003822.1	  0.42444 	   0.63950 	G	 44447	 0.148259 	SPEC	19.9g	  0.000	1	0	16	3	1	4	0
8	SDSS J000203.44+001946.3	  0.51434 	   0.32953 	G	 58437	 0.194924 	SPEC	19.9g	  0.000	1	0	16	3	1	4	0
9	SDSS J000203.99+152414.1	  0.51663 	  15.40394 	G	 47076	 0.157027 	    	18.6g	  0.000	7	0	35	3	3	8	0
10	SDSS J000204.60-010722.3	  0.51920 	  -1.12288 	G	 74382	 0.248110 	SPEC	19.2g	  0.000	1	0	16	3	1	4	0
11	SDSS J000207.56+150707.4	  0.53153 	  15.11873 	G	 44465	 0.148318 	SPEC	21.6g	  0.000	1	0	15	2	1	4	0
12	SDSS J000214.59+000047.6	  0.56081 	   0.01323 	G	 61183	 0.204084 	SPEC	20.5g	  0.000	1	0	15	3	2	4	0
13	SDSS J000223.93+002936.0	  0.59975 	   0.49335 	G	 49229	 0.164211 	SPEC	20.2g	  0.000	1	0	15	2	1	4	0
14	SDSS J000226.40-004451.7	  0.61002 	  -0.74771 	G	 68323	 0.227900 	    	22.02	  0.000	3	0	15	1	1	4	0
15	SDSS J000250.12+002819.1	  0.70885 	   0.47200 	G	 58313	 0.194510 	SPEC	19.9g	  0.000	1	0	16	4	2	4	1
16	SDSS J000251.77+000307.2	  0.71574 	   0.05201 	G	 74284	 0.247786 	SPEC	20.7g	  0.000	1	0	15	3	2	4	0
17	SDSS J000331.64-005154.9	  0.88186 	  -0.86526 	G	 47971	 0.160013 	SPEC	19.4g	  0.000	1	0	16	3	1	4	0
18	SDSS J000336.79+005452.0	  0.90331 	   0.91446 	G	 57188	 0.190757 	SPEC	20.3g	  0.000	1	0	15	3	2	4	0
19	SDSS J000345.30+002851.0	  0.93879 	   0.48085 	G	 58251	 0.194303 	SPEC	20.1g	  0.000	1	0	16	3	1	4	1
20	SDSS J000346.74+001151.2	  0.94475 	   0.19756 	G	 55869	 0.186360 	SPEC	19.2g	  0.000	1	0	15	2	1	4	0
21	SDSS J000420.30+001808.3	  1.08461 	   0.30233 	G	 58582	 0.195407 	SPEC	21.0g	  0.000	0	0	15	2	1	4	0
22	SDSS J000422.16-105316.0	  1.09235 	 -10.88778 	G	 64128	 0.213909 	SPEC	21.3g	  0.000	0	0	15	2	1	4	0
23	SDSS J000422.40+004733.0	  1.09334 	   0.79251 	G	 58066	 0.193686 	SPEC	20.4g	  0.000	1	0	15	2	1	4	0
24	SDSS J000438.47+142550.9	  1.16032 	  14.43081 	G	 52349	 0.174616 	    	19.3g	  0.000	8	0	35	3	2	8	1
25	SDSS J000450.39+145003.9	  1.20997 	  14.83443 	G	 46725	 0.155857 	SPEC	22.0g	  0.000	0	0	15	2	1	4	0
26	SDSS J000453.82+001548.1	  1.22427 	   0.26337 	G	 69774	 0.232741 	SPEC	20.8g	  0.000	2	0	15	2	1	4	1
27	SDSS J000453.98-100726.0	  1.22493 	 -10.12390 	G	 65075	 0.217067 	SPEC	21.9g	  0.000	0	0	15	3	2	4	0
28	SDSS J000509.27-085045.1	  1.28865 	  -8.84587 	G	 45568	 0.152000 	:   	19.0g	  0.000	1	0	16	3	1	4	0
29	SDSS J000530.04+010109.5	  1.37520 	   1.01932 	G	 47874	 0.159691 	SPEC	18.9g	  0.000	1	0	16	3	1	4	0
30	SDSS J000530.35-011216.4	  1.37646 	  -1.20456 	G	 41971	 0.140000 	    	     	  0.000	1	0	0	1	1	0	0
31	SDSS J000531.47-011224.9	  1.38112 	  -1.20692 	G	 41971	 0.140000 	    	     	  0.000	6	0	0	0	1	0	0
32	SDSS J000543.55-103328.2	  1.43147 	 -10.55785 	G	 65341	 0.217954 	SPEC	21.7g	  0.000	0	0	15	2	1	4	0
33	SDSS J000615.46-004554.0	  1.56444 	  -0.76501 	G	 58606	 0.195487 	SPEC	20.7g	  0.000	1	0	15	2	1	4	0
34	SDSS J000629.64-002822.3	  1.62423 	  -0.47386 	G	 43170	 0.144000 	    	20.7g	  0.000	4	0	15	3	2	4	0
35	SDSS J000635.45-090609.6	  1.64771 	  -9.10269 	G	 64331	 0.214586 	SPEC	19.2g	  0.000	1	0	15	2	1	4	0
36	SDSS J000656.62+001029.2	  1.73593 	   0.17480 	G	 47576	 0.158698 	SPEC	22.5g	  0.000	0	0	15	2	1	4	0
37	SDSS J000704.64+144449.5	  1.76934 	  14.74711 	G	 72059	 0.240363 	SPEC	21.4g	  0.000	0	0	15	2	1	4	0
38	SDSS J000730.05+001217.0	  1.87524 	   0.20472 	G	 41581	 0.138698 	SPEC	19.8g	  0.000	2	0	15	2	1	4	0
39	SDSS J000733.30-004636.5	  1.88875 	  -0.77682 	G	 53132	 0.177228 	SPEC	18.5g	  0.000	1	0	15	2	1	4	0
40	SDSS J000744.27-100150.7	  1.93449 	 -10.03077 	G	 72300	 0.241167 	SPEC	20.0g	  0.000	0	0	15	2	1	4	0
41	SDSS J000746.34+154407.5	  1.94309 	  15.73544 	G	 52680	 0.175723 	    	18.6g	  0.000	8	0	35	3	3	8	0
42	SDSS J000757.72+150612.2	  1.99054 	  15.10340 	G	 39596	 0.132077 	    	17.3g	  0.000	7	0	15	2	1	4	0
43	SDSS J000757.73+150612.2	  1.99054 	  15.10339 	G	 39591	 0.132062 	    	17.4g	  0.000	2	0	20	1	1	4	2
44	SDSS J000812.39-003446.6	  2.05163 	  -0.57962 	G	 63668	 0.212374 	SPEC	20.3g	  0.000	1	0	15	3	2	4	0
45	SDSS J000821.63-011108.2	  2.09016 	  -1.18563 	G	 60897	 0.203131 	SPEC	19.6g	  0.000	1	0	15	2	1	4	0
46	SDSS J000836.44+000717.0	  2.15184 	   0.12141 	G	 47234	 0.157557 	SPEC	20.4g	  0.000	1	0	15	2	1	4	0
47	SDSS J000840.97-001731.7	  2.17071 	  -0.29217 	G	 58205	 0.194151 	SPEC	19.9g	  0.000	1	0	15	2	1	4	0
48	SDSS J000852.66-005909.6	  2.21943 	  -0.98602 	G	 64354	 0.214663 	SPEC	20.8g	  0.000	1	0	15	3	2	4	0
49	SDSS J000931.28+000547.6	  2.38035 	   0.09656 	G	 60293	 0.201117 	SPEC	22.3g	  0.000	2	0	15	2	1	4	0
50	SDSS J000934.99+002502.7	  2.39583 	   0.41744 	G	 56673	 0.189042 	SPEC	20.4g	  0.000	1	0	15	2	1	4	0
51	SDSS J000940.90+002516.4	  2.42046 	   0.42125 	G	 55242	 0.184268 	SPEC	20.5g	  0.000	1	0	15	2	1	4	0
52	SDSS J000948.37+322305.9	  2.45155 	  32.38498 	G	 67562	 0.225363 	    	     	  0.000	1	0	0	1	1	0	0
53	SDSS J000954.33+103541.8	  2.47638 	  10.59497 	G	 65679	 0.219080 	    	     	  0.000	1	0	0	1	1	0	0
54	SDSS J000955.71+322304.3	  2.48213 	  32.38454 	G	 67596	 0.225476 	    	     	  0.000	1	0	0	1	1	0	0
55	SDSS J000957.25+322623.3	  2.48854 	  32.43983 	G	 67647	 0.225646 	    	     	  0.000	1	0	0	1	1	0	0
56	SDSS J000959.12+320534.1	  2.49635 	  32.09282 	G	 66737	 0.222611 	    	     	  0.000	1	0	0	1	1	0	0
57	SDSS J001001.52+003104.0	  2.50634 	   0.51778 	G	 53320	 0.177858 	SPEC	20.4g	  0.000	1	0	15	2	1	4	0
58	SDSS J001005.34+322512.5	  2.52228 	  32.42017 	G	 39731	 0.132528 	    	     	  0.000	1	0	0	1	1	0	0
59	SDSS J001007.59+322150.2	  2.53166 	  32.36396 	G	 66147	 0.220643 	    	     	  0.000	1	0	0	1	1	0	0
60	SDSS J001011.48+005449.2	  2.54786 	   0.91368 	G	 59728	 0.199231 	SPEC	18.9g	  0.000	1	0	16	3	1	4	0
61	SDSS J001019.33+005634.8	  2.58057 	   0.94302 	G	 47233	 0.157551 	    	19.4g	  0.000	5	0	35	3	4	8	1
62	SDSS J001019.50-000012.9	  2.58129 	  -0.00359 	G	 46475	 0.155025 	SPEC	20.1g	  0.000	1	0	15	2	1	4	0
63	SDSS J001021.85-001159.5	  2.59104 	  -0.19988 	G	 59871	 0.199707 	SPEC	20.2g	  0.000	1	0	15	2	1	4	0
64	SDSS J001029.30+323340.3	  2.62208 	  32.56122 	G	 48189	 0.160741 	    	     	  0.000	1	0	0	1	1	0	0
65	SDSS J001032.32+322233.8	  2.63469 	  32.37606 	G	 48418	 0.161505 	    	     	  0.000	1	0	0	1	1	0	0
66	SDSS J001043.55+001206.6	  2.68146 	   0.20186 	G	 73023	 0.243580 	SPEC	20.0g	  0.000	1	0	15	3	2	4	0
67	SDSS J001044.16+144611.1	  2.68402 	  14.76975 	G	 40286	 0.134381 	    	18.5g	  0.000	5	0	35	3	3	8	0
68	SDSS J001051.11-000411.4	  2.71296 	  -0.06984 	G	 68652	 0.229000 	PHOT	22.2g	  0.000	4	0	15	3	2	4	0
69	SDSS J001053.37+322604.5	  2.72241 	  32.43461 	G	 47432	 0.158216 	    	     	  0.000	1	0	0	1	1	0	0
