

Results from query to  NASA/IPAC Extragalactic Database (NED),
which is operated by the Jet Propulsion Laboratory, California Institute of
Technology, under contract with the National Aeronautics and Space Administration.
This work was (partially) supported by the US National Virtual Observatory
development project, which is funded by the National Science Foundation
under cooperative agreement AST0122449 with The Johns Hopkins University.


queryDateTime:2019-10-01T10:19:11PDT



Main Information Table for All Sky, chosen by params



Equinox:J2000.0



CoordSystem:Equatorial

No.	Object Name	RA	DEC	Type	Velocity	Redshift	Redshift Flag	Magnitude and Filter	Separation	References	Notes	Photometry Points	Positions	Redshift Points	Diameter Points	Associations
1	SDSS J000133.51-085211.9	  0.38965 	  -8.86999 	G	237969	 0.793779 	SPEC	22.2g	  0.000	3	0	15	2	1	4	0
2	SDSS J000217.15-102802.3	  0.57146 	 -10.46732 	G	229080	 0.764130 	SPEC	22.8g	  0.000	1	0	15	2	1	4	0
3	SDSS J000246.35+011351.1	  0.69314 	   1.23088 	G	236286	 0.788165 	SPEC	21.5g	  0.000	2	0	15	2	1	4	0
4	SDSS J000247.86+151508.2	  0.69944 	  15.25229 	G	226445	 0.755340 	SPEC	22.2g	  0.000	2	0	15	2	1	4	0
5	SDSS J000510.10-100232.7	  1.29210 	 -10.04242 	G	238931	 0.796989 	SPEC	22.2g	  0.000	1	0	15	2	1	4	0
6	SDSS J000640.73-105415.0	  1.66971 	 -10.90417 	G	286845	 0.956813 	SPEC	24.0g	  0.000	0	0	15	2	1	4	0
7	SDSS J000703.23+155506.6	  1.76348 	  15.91852 	G	289564	 0.965880 	SPEC	21.6g	  0.000	0	0	15	2	1	4	0
8	SDSS J000828.69+001621.7	  2.11955 	   0.27272 	G	238201	 0.794552 	SPEC	21.5g	  0.000	3	0	15	2	1	4	0
9	SDSS J000834.83+141415.5	  2.14514 	  14.23765 	G	231170	 0.771100 	SPEC	22.3g	  0.000	2	0	15	3	2	4	0
10	SDSS J001024.06+153727.4	  2.60029 	  15.62428 	G	250540	 0.835710 	SPEC	21.3g	  0.000	1	0	15	2	1	4	0
11	SDSS J001114.86-095051.8	  2.81192 	  -9.84774 	G	239561	 0.799090 	SPEC	21.2g	  0.000	2	0	15	2	1	4	0
12	SDSS J001303.29+155559.5	  3.26372 	  15.93320 	G	275952	 0.920477 	SPEC	21.0g	  0.000	0	0	15	2	1	4	0
13	SDSS J001317.67+001418.9	  3.32364 	   0.23859 	G	228775	 0.763111 	SPEC	22.3g	  0.000	0	0	15	2	1	4	0
14	SDSS J001331.49-100917.6	  3.38121 	 -10.15489 	G	227855	 0.760044 	    	22.4g	  0.000	2	0	35	3	2	8	0
15	SDSS J001359.07-095844.2	  3.49614 	  -9.97896 	G	229045	 0.764012 	SPEC	21.6g	  0.000	0	0	15	2	1	4	0
16	SDSS J001510.84+010633.3	  3.79488 	   1.10961 	G	251826	 0.840000 	    	     	  0.000	4	0	0	1	1	0	0
17	SDSS J001620.25-101259.5	  4.08441 	 -10.21655 	G	226076	 0.754107 	SPEC	21.7g	  0.000	0	0	15	2	1	4	0
18	SDSS J001632.16+155158.5	  4.13402 	  15.86626 	G	230570	 0.769100 	    	23.3g	  0.000	1	0	15	1	0	4	0
19	SDSS J001712.87+142132.1	  4.30363 	  14.35894 	G	229221	 0.764598 	SPEC	21.7g	  0.000	0	0	15	2	1	4	0
20	SDSS J001816.41-002154.8	  4.56838 	  -0.36523 	G	243426	 0.811983 	SPEC	20.5g	  0.000	4	0	15	3	2	4	0
21	SDSS J001905.48-010158.3	  4.77286 	  -1.03286 	G	226643	 0.756001 	SPEC	23.0g	  0.000	2	0	15	2	1	4	0
22	SDSS J002050.59+002314.6	  5.21081 	   0.38741 	G	265888	 0.886907 	SPEC	22.5g	  0.000	1	0	15	2	1	4	0
23	SDSS J002055.96-004435.7	  5.23318 	  -0.74327 	G	225684	 0.752802 	SPEC	22.8g	  0.000	2	0	15	2	1	4	0
24	SDSS J002333.44+160044.0	  5.88936 	  16.01224 	G	230001	 0.767199 	SPEC	23.5g	  0.000	2	0	15	2	1	4	0
25	SDSS J002340.07+151649.4	  5.91699 	  15.28040 	G	244081	 0.814168 	SPEC	21.4g	  0.000	2	0	15	2	1	4	0
26	SDSS J002422.32+140144.2	  6.09304 	  14.02897 	G	260058	 0.867459 	SPEC	21.5g	  0.000	2	0	15	2	1	4	0
27	SDSS J002512.55+000144.9	  6.30233 	   0.02916 	G	248477	 0.828831 	SPEC	21.7g	  0.000	3	0	15	2	1	4	0
28	SDSS J002613.88+144122.9	  6.55785 	  14.68970 	G	239831	 0.799991 	SPEC	23.0g	  0.000	2	0	15	2	1	4	0
29	SDSS J002628.45+161431.5	  6.61857 	  16.24211 	G	278393	 0.928619 	SPEC	22.0g	  0.000	2	0	15	2	1	4	0
30	SDSS J002738.61+145640.1	  6.91089 	  14.94449 	G	234532	 0.782313 	SPEC	23.1g	  0.000	2	0	15	2	1	4	0
31	SDSS J0029-0055 bg	  7.28242 	  -0.93069 	G	279107	 0.931000 	    	     	  0.000	2	0	0	0	1	0	0
32	SDSS J003041.36-000942.5	  7.67237 	  -0.16181 	G	290597	 0.969328 	SPEC	19.8g	  0.000	0	0	15	2	1	4	1
33	SDSS J003357.57-003731.5	  8.48989 	  -0.62543 	G	236741	 0.789684 	SPEC	22.4g	  0.000	1	0	15	4	3	4	0
