

Results from query to  NASA/IPAC Extragalactic Database (NED),
which is operated by the Jet Propulsion Laboratory, California Institute of
Technology, under contract with the National Aeronautics and Space Administration.
This work was (partially) supported by the US National Virtual Observatory
development project, which is funded by the National Science Foundation
under cooperative agreement AST0122449 with The Johns Hopkins University.



queryDateTime:2019-10-13T19:35:44PDT



Main Information Table for All Sky, chosen by params



Equinox:J2000.0



CoordSystem:Equatorial

No.|Object Name|RA|DEC|Type|Velocity|Redshift|Redshift Flag|Magnitude and Filter|Separation|References|Notes|Photometry Points|Positions|Redshift Points|Diameter Points|Associations
1|WISEA J000008.52-101513.0|  0.03587 | -10.25331 |G|484338| 1.615579 |SPEC|22.1g|  0.000|0|0|27|3|1|4|0
2|SDSS J000026.65-001147.6|  0.11105 |  -0.19658 |G|693886| 2.314555 |SPEC|22.2g|  0.000|4|0|15|3|2|4|0
3|WISEA J000038.71-105730.3|  0.16125 | -10.95837 |G|372364| 1.242072 |SPEC|21.3g|  0.000|0|0|27|3|1|4|0
4|WISEA J000039.00-001803.9|  0.16250 |  -0.30110 |QSO|640098| 2.135138 |    |19.1g|  0.000|38|0|46|10|21|8|0
5|SDSS J000046.37+000827.5|  0.19321 |   0.14098 |G|517142| 1.725000 |PHOT|20.37|  0.000|6|0|6|3|3|4|0
6|WISEA J000049.45-100043.7|  0.20611 | -10.01218 |QSO|341934| 1.140568 |    |21.2g|  0.000|22|0|45|7|11|8|0
7|SDSS J000104.79+005650.1|  0.26999 |   0.94727 |G|425705| 1.420000 |PHOT|20.2g|  0.000|1|0|21|2|1|4|0
8|SDSS J000106.46+011101.3|  0.27694 |   1.18369 |G|729333| 2.432792 |SPEC|22.1g|  0.000|3|0|15|2|1|4|0
9|WISEA J000109.99-033816.9|  0.29162 |  -3.63817 |G|935932| 3.121932 |SPEC|20.12|  0.000|1|0|13|4|1|0|0
10|WISEA J000110.29-084616.3|  0.29278 |  -8.77105 |G|547121| 1.825000 |PHOT|20.26|  0.000|3|0|26|5|2|4|0
11|SDSS J000113.52+001041.1|  0.30636 |   0.17810 |G|437697| 1.460000 |PHOT|21.4g|  0.000|1|0|21|2|1|4|0
12|SDSS J000114.27-003756.8|  0.30949 |  -0.63246 |G|430474| 1.435907 |SPEC|20.8g|  0.000|5|0|19|4|2|4|0
13|SDSS J000115.34+010737.9|  0.31395 |   1.12721 |G|419710| 1.400000 |PHOT|23.1g|  0.000|1|0|17|1|1|4|0
14|WISEA J000116.20-094113.2|  0.31750 |  -9.68705 |G|353929| 1.180580 |SPEC|22.0g|  0.000|1|0|27|3|1|4|0
15|WISEA J000116.97-004808.8|  0.32083 |  -0.80262 |G|410407| 1.368970 |SPEC|21.2g|  0.000|3|0|27|4|2|4|0
16|SDSS J000119.36+010524.7|  0.33071 |   1.09023 |G|688608| 2.296950 |SPEC|20.8g|  0.000|8|0|15|4|3|4|1
17|SDSS J000120.42+003320.9|  0.33512 |   0.55581 |G|311784| 1.040000 |PHOT|22.3g|  0.000|1|0|21|2|1|4|0
18|WISEA J000123.64-032317.3|  0.34852 |  -3.38815 |G|935604| 3.120838 |SPEC|20.18|  0.000|2|0|13|4|1|0|0
19|WISEA J000133.50+151214.4|  0.38962 |  15.20401 |G|509800| 1.700511 |SPEC|22.2g|  0.000|2|0|27|3|1|4|0
20|SDSS J000136.00+011323.5|  0.40003 |   1.22321 |G|791564| 2.640373 |SPEC|22.2g|  0.000|5|0|15|4|3|4|0
21|SDSS J000138.81+000723.3|  0.41175 |   0.12316 |G|302790| 1.010000 |PHOT|21.0g|  0.000|2|0|25|3|1|4|0
22|WISEA J000140.95+002046.2|  0.42074 |   0.34632 |G|305788| 1.020000 |PHOT|21.1g|  0.000|1|0|37|4|1|4|0
23|SDSS J000143.46-002816.6|  0.43110 |  -0.47129 |G|767347| 2.559593 |SPEC|21.2g|  0.000|5|0|15|4|3|4|0
24|LBQS 2359-0216B|  0.45833 |  -1.99454 |QSO|844515| 2.817000 |    |18.71|  0.000|93|0|14|10|7|0|0
25|SDSS J000153.29-001254.5|  0.47205 |  -0.21515 |G|311784| 1.040000 |PHOT|21.7g|  0.000|1|0|21|2|1|4|0
26|SDSS J000159.56+000915.8|  0.49819 |   0.15441 |G|881390| 2.940000 |PHOT|22.5g|  0.000|1|0|21|2|1|4|0
27|SDSS J000211.42-001833.2|  0.54761 |  -0.30922 |G|410716| 1.370000 |PHOT|21.3g|  0.000|1|0|17|1|1|4|0
28|SDSS J000213.14+001217.2|  0.55475 |   0.20479 |G|386732| 1.290000 |PHOT|21.8g|  0.000|1|0|21|2|1|4|0
