

Results from query to  NASA/IPAC Extragalactic Database (NED),
which is operated by the Jet Propulsion Laboratory, California Institute of
Technology, under contract with the National Aeronautics and Space Administration.
This work was (partially) supported by the US National Virtual Observatory
development project, which is funded by the National Science Foundation
under cooperative agreement AST0122449 with The Johns Hopkins University.



queryDateTime:2019-10-14T16:31:01PDT



Main Information Table for All Sky, chosen by params



Equinox:J2000.0



CoordSystem:Equatorial

No.|Object Name|RA|DEC|Type|Velocity|Redshift|Redshift Flag|Magnitude and Filter|Separation|References|Notes|Photometry Points|Positions|Redshift Points|Diameter Points|Associations
1|WISEA J000001.27+150440.9|  0.00532 |  15.07801 |G|   -28|-0.000093 |SPEC|17.3g|  0.000|1|0|33|4|1|4|0
2|SDSS J000006.99-095753.8|  0.02917 |  -9.96497 |G|  -205|-0.000683 |SPEC|21.0g|  0.000|0|0|19|3|1|4|0
3|WISEA J000010.53-042033.3|  0.04417 |  -4.34287 |G|  -237|-0.000792 |SPEC|19.70|  0.000|0|0|19|5|1|0|0
4|SDSS J000024.58-011003.4|  0.10246 |  -1.16762 |G|   -13|-0.000044 |SPEC|22.2g|  0.000|0|0|15|2|1|4|0
5|SDSS J000030.85-005228.5|  0.12855 |  -0.87460 |G|   -32|-0.000108 |SPEC|19.7g|  0.000|0|0|6|3|1|3|0
6|WISEA J000039.27+005432.8|  0.16351 |   0.90917 |G|   -40|-0.000133 |SPEC|19.7g|  0.000|2|0|41|7|1|4|0
7|SDSS J000044.73-101740.3|  0.18638 | -10.29455 |G|  -165|-0.000551 |SPEC|20.7g|  0.000|0|0|19|3|1|4|0
8|WISEA J000059.56+251920.4|  0.24810 |  25.32219 |UvS|   -50|-0.000166 |SPEC|     |  0.000|0|0|23|5|1|0|0
9|SDSS J000123.75-104742.9|  0.34896 | -10.79528 |G|   -95|-0.000317 |SPEC|21.1g|  0.000|0|0|15|2|1|4|0
10|WISEA J000131.96-001912.6|  0.38315 |  -0.32031 |*|    -4|-0.000014 |SPEC|16.7g|  0.000|1|0|23|4|1|4|0
11|2MASS J00014473+0042422|  0.43642 |   0.71174 |G|   -37|-0.000125 |SPEC|18.7g|  0.000|0|0|12|4|1|4|0
12|SDSS J000147.79+001131.8|  0.44916 |   0.19219 |G|    -4|-0.000013 |SPEC|21.1g|  0.000|2|0|15|2|1|4|0
13|WISEA J000152.11-110023.9|  0.46704 | -11.00662 |G|   -31|-0.000105 |SPEC|17.8g|  0.000|1|0|33|4|1|4|0
