

Results from query to  NASA/IPAC Extragalactic Database (NED),
which is operated by the Jet Propulsion Laboratory, California Institute of
Technology, under contract with the National Aeronautics and Space Administration.
This work was (partially) supported by the US National Virtual Observatory
development project, which is funded by the National Science Foundation
under cooperative agreement AST0122449 with The Johns Hopkins University.



queryDateTime:2019-09-27T09:04:14PDT



Main Information Table for All Sky, chosen by params



Equinox:J2000.0



CoordSystem:Equatorial

No.|Object Name|RA|DEC|Type|Velocity|Redshift|Redshift Flag|Magnitude and Filter|Separation|References|Notes|Photometry Points|Positions|Redshift Points|Diameter Points|Associations
1|SDSS J000109.97-033818.0|  0.29162 |  -3.63817 |G|935932| 3.121932 |SPEC|20.12|  0.000|1|0|1|2|1|0|0
2|SDSS J000123.61-032317.9|  0.34852 |  -3.38815 |G|935604| 3.120838 |SPEC|20.18|  0.000|2|0|1|2|1|0|0
3|SDSS J000540.54-010453.0|  1.41894 |  -1.08141 |G|1071030| 3.572572 |SPEC|22.2g|  0.000|4|0|15|3|2|4|0
4|SDSS J000554.03+003041.9|  1.47515 |   0.51171 |G|1240805| 4.138880 |SPEC|22.3g|  0.000|5|0|5|3|2|4|0
5|SDSS J000723.99-002337.7|  1.84998 |  -0.39383 |G|1703482| 5.682204 |SPEC|22.0g|  0.000|2|0|15|2|1|4|0
6|SDSS J000802.41+143326.0|  2.01006 |  14.55723 |G|1753370| 5.848613 |SPEC|21.7g|  0.000|0|0|15|2|1|4|0
7|SDSS J000917.51-002136.1|  2.32298 |  -0.36003 |G|1153033| 3.846104 |SPEC|20.3g|  0.000|1|0|15|2|1|4|0
8|SDSS J000919.96-094809.2|  2.33317 |  -9.80258 |G|1676925| 5.593618 |SPEC|20.0g|  0.000|0|0|15|2|1|4|0
9|SDSS J000925.22-005602.9|  2.35509 |  -0.93419 |G|945136| 3.152634 |SPEC|21.0g|  0.000|4|0|19|4|2|4|0
10|SDSS J000938.93+140724.7|  2.41224 |  14.12356 |G|2087309| 6.962512 |SPEC|22.7g|  0.000|0|0|15|2|1|4|1
11|SDSS J001025.06-002508.4|  2.60444 |  -0.41901 |G|1962601| 6.546531 |SPEC|20.6g|  0.000|0|0|19|3|1|4|0
12|SDSS J001040.44+004012.2|  2.66851 |   0.67006 |G|1886013| 6.291061 |SPEC|22.4g|  0.000|3|0|15|2|1|4|1
13|SDSS J001042.71-064708.8|  2.67826 |  -6.78554 |G|914772| 3.051352 |SPEC|19.34|  0.000|0|0|5|3|1|0|0
14|SDSS J001343.07+002949.8|  3.42950 |   0.49718 |G|1379398| 4.601175 |SPEC|23.5g|  0.000|0|0|15|2|1|4|0
15|SDSS J001346.98+144715.3|  3.44579 |  14.78760 |G|1580580| 5.272248 |SPEC|21.8g|  0.000|0|0|15|2|1|4|0
16|SDSS J001631.71-010426.9|  4.13218 |  -1.07417 |G|1060764| 3.538327 |SPEC|22.0g|  0.000|6|0|15|5|4|4|0
17|LCSB S0038P|  4.30836 | -10.37766 |G|1203667| 4.015000 |PHOT|18.47|  0.000|4|0|12|4|2|4|0
18|SDSS J001728.71+004445.1|  4.36967 |   0.74583 |G|1143767| 3.815194 |SPEC|18.6g|  0.000|1|0|24|5|1|4|0
19|2MASX J00191295-0624119|  4.80408 |  -6.40328 |G|1401073| 4.673477 |SPEC|19.53|  0.000|0|0|16|3|1|2|0
20|SDSS J002002.13+152819.8|  5.00891 |  15.47218 |G|2095379| 6.989432 |SPEC|23.1g|  0.000|2|0|15|2|1|4|0
21|SDSS J002113.99+155732.8|  5.30833 |  15.95914 |G|2097694| 6.997152 |SPEC|22.7g|  0.000|0|0|15|2|1|4|0
22|SDSS J002311.87-002255.7|  5.79947 |  -0.38215 |G|1214726| 4.051889 |SPEC|21.4g|  0.000|2|0|19|3|1|4|0
23|SDSS J002330.66-001836.6|  5.87784 |  -0.31020 |G|1518413| 5.064881 |SPEC|25.9g|  0.000|6|0|15|5|4|4|0
24|SDSS J002610.11-000321.1|  6.54216 |  -0.05587 |G|1264870| 4.219150 |SPEC|23.5g|  0.000|0|0|15|2|1|4|0
25|SDSS J002616.53+002454.0|  6.56890 |   0.41501 |G|1141823| 3.808712 |SPEC|22.1g|  0.000|1|0|15|2|1|4|0
26|SDSS J002625.86-004830.0|  6.60777 |  -0.80835 |G|902312| 3.009788 |SPEC|21.7g|  0.000|5|0|15|3|2|4|0
27|SDSS J002651.13-004343.5|  6.71307 |  -0.72877 |G|1279191| 4.266920 |SPEC|22.3g|  0.000|0|0|15|2|1|4|0
28|SDSS J002806.57+045725.3|  7.02733 |   4.95714 |G|1795757| 5.990000 |    |     |  0.000|9|0|7|5|5|0|0
29|SDSS J002834.43+000037.5|  7.14350 |   0.01042 |G|1390012| 4.636580 |SPEC|21.6g|  0.000|1|0|15|2|1|4|0
30|SDSS J002913.70-004240.4|  7.30708 |  -0.71123 |G|2003498| 6.682949 |SPEC|23.3g|  0.000|0|0|15|2|1|4|0
31|2MASX J00300536+2957082|  7.52242 |  29.95225 |G|1557964| 5.196809 |SPEC|14.2R|  0.000|5|0|22|2|1|2|0
32|SDSS J003150.40-090931.9|  7.96003 |  -9.15888 |G|912868| 3.045000 |PHOT|21.2g|  0.000|2|0|14|4|1|4|0
33|SDSS J003205.37-041416.2|  8.02238 |  -4.23783 |G|946886| 3.158472 |    |19.2b|  0.000|2|0|2|2|3|0|0
34|SDSS J003318.48+002307.6|  8.32705 |   0.38548 |G|1201603| 4.008115 |SPEC|22.0g|  0.000|1|0|15|2|1|4|0
35|SDSS J003323.53+142804.9|  8.34830 |  14.46808 |G|1254531| 4.184664 |SPEC|22.9g|  0.000|0|0|15|2|1|3|0
36|2MASX J00333256-0641405|  8.38567 |  -6.69461 |G|1876066| 6.257881 |SPEC|17.78|  0.000|1|0|16|3|1|2|1
