

Results from query to  NASA/IPAC Extragalactic Database (NED),
which is operated by the Jet Propulsion Laboratory, California Institute of
Technology, under contract with the National Aeronautics and Space Administration.
This work was (partially) supported by the US National Virtual Observatory
development project, which is funded by the National Science Foundation
under cooperative agreement AST0122449 with The Johns Hopkins University.


queryDateTime:2019-09-27T12:25:26PDT



Main Information Table for All Sky, chosen by params



Equinox:J2000.0



CoordSystem:Equatorial

No.	Object Name	RA	DEC	Type	Velocity	Redshift	Redshift Flag	Magnitude and Filter	Separation	References	Notes	Photometry Points	Positions	Redshift Points	Diameter Points	Associations
1	SDSS J000802.41+143326.0	  2.01006 	  14.55723 	G	1753370	 5.848613 	SPEC	21.7g	  0.000	0	0	15	2	1	4	0
2	SDSS J000917.51-002136.1	  2.32298 	  -0.36003 	G	1153033	 3.846104 	SPEC	20.3g	  0.000	1	0	15	2	1	4	0
3	SDSS J000919.96-094809.2	  2.33317 	  -9.80258 	G	1676925	 5.593618 	SPEC	20.0g	  0.000	0	0	15	2	1	4	0
4	SDSS J002625.86-004830.0	  6.60777 	  -0.80835 	G	902312	 3.009788 	SPEC	21.7g	  0.000	5	0	15	3	2	4	0
5	SDSS J002834.43+000037.5	  7.14350 	   0.01042 	G	1390012	 4.636580 	SPEC	21.6g	  0.000	1	0	15	2	1	4	0
6	SDSS J004136.88+003222.0	 10.40368 	   0.53945 	G	1730356	 5.771845 	SPEC	22.7g	  0.000	2	0	15	2	1	4	0
7	SDSS J004303.29+011217.5	 10.76373 	   1.20488 	G	1986606	 6.626605 	SPEC	23.5g	  0.000	1	0	15	2	1	4	0
8	SDSS J004343.19+005234.0	 10.92998 	   0.87613 	G	2081649	 6.943634 	SPEC	21.2g	  0.000	0	0	15	2	1	3	0
9	SDSS J004409.02-010159.5	 11.03761 	  -1.03320 	G	930831	 3.104919 	SPEC	22.1g	  0.000	3	0	15	2	1	4	0
10	SDSS J004739.56+160536.2	 11.91486 	  16.09340 	G	959797	 3.201539 	SPEC	21.9g	  0.000	0	0	15	2	1	4	0
11	SDSS J010013.02+280255.8	 15.05425 	  28.04883 	G	1888693	 6.300000 	    	     	  0.000	4	0	0	2	2	0	0
12	SDSS J010202.04-001247.9	 15.50850 	  -0.21331 	G	1973895	 6.584203 	SPEC	22.3g	  0.000	1	0	15	2	1	4	0
13	SDSS J010928.09-000741.2	 17.36706 	  -0.12812 	G	1862935	 6.214080 	SPEC	22.6g	  0.000	0	0	15	2	1	4	0
14	SDSS J012107.83-001257.3	 20.28263 	  -0.21593 	G	1949237	 6.501954 	SPEC	22.8g	  0.000	1	0	15	2	1	3	0
15	SDSS J012320.60+145835.6	 20.83584 	  14.97657 	G	2038888	 6.800997 	SPEC	24.0g	  0.000	0	0	15	2	1	4	0
